date;holidayname;subcountry
2085-04-13;Karfreitag;BY
2085-04-16;Ostermontag;BY
2085-05-01;Erster Mai;BY
2085-05-24;Christi Himmelfahrt;BY
2085-06-04;Pfingstmontag;BY
2085-10-03;Tag der Deutschen Einheit;BY
2085-12-25;Erster Weihnachtstag;BY
2085-12-26;Zweiter Weihnachtstag;BY
2085-01-06;Heilige Drei Könige;BY
2085-06-14;Fronleichnam;BY
2085-11-01;Allerheiligen;BY
2086-01-01;Neujahr;BY
2086-03-29;Karfreitag;BY
2086-04-01;Ostermontag;BY
2086-05-01;Erster Mai;BY
2086-05-09;Christi Himmelfahrt;BY
2086-05-20;Pfingstmontag;BY
2086-10-03;Tag der Deutschen Einheit;BY
2086-12-25;Erster Weihnachtstag;BY
2086-12-26;Zweiter Weihnachtstag;BY
2086-01-06;Heilige Drei Könige;BY
2086-05-30;Fronleichnam;BY
2086-11-01;Allerheiligen;BY
2087-01-01;Neujahr;BY
2087-04-18;Karfreitag;BY
2087-04-21;Ostermontag;BY
2087-05-01;Erster Mai;BY
2087-05-29;Christi Himmelfahrt;BY
2087-06-09;Pfingstmontag;BY
2087-10-03;Tag der Deutschen Einheit;BY
2087-12-25;Erster Weihnachtstag;BY
2087-12-26;Zweiter Weihnachtstag;BY
2087-01-06;Heilige Drei Könige;BY
2087-06-19;Fronleichnam;BY
2087-11-01;Allerheiligen;BY
2088-01-01;Neujahr;BY
2088-04-09;Karfreitag;BY
2088-04-12;Ostermontag;BY
2088-05-01;Erster Mai;BY
2088-05-20;Christi Himmelfahrt;BY
2088-05-31;Pfingstmontag;BY
2088-10-03;Tag der Deutschen Einheit;BY
2088-12-25;Erster Weihnachtstag;BY
2088-12-26;Zweiter Weihnachtstag;BY
2088-01-06;Heilige Drei Könige;BY
2088-06-10;Fronleichnam;BY
2088-11-01;Allerheiligen;BY
2089-01-01;Neujahr;BY
2089-04-01;Karfreitag;BY
2089-04-04;Ostermontag;BY
2089-05-01;Erster Mai;BY
2089-05-12;Christi Himmelfahrt;BY
2089-05-23;Pfingstmontag;BY
2089-10-03;Tag der Deutschen Einheit;BY
2089-12-25;Erster Weihnachtstag;BY
2089-12-26;Zweiter Weihnachtstag;BY
2089-01-06;Heilige Drei Könige;BY
2089-06-02;Fronleichnam;BY
2089-11-01;Allerheiligen;BY
2090-01-01;Neujahr;BY
2090-04-14;Karfreitag;BY
2090-04-17;Ostermontag;BY
2090-05-01;Erster Mai;BY
2090-05-25;Christi Himmelfahrt;BY
2090-06-05;Pfingstmontag;BY
2090-10-03;Tag der Deutschen Einheit;BY
2090-12-25;Erster Weihnachtstag;BY
2090-12-26;Zweiter Weihnachtstag;BY
2090-01-06;Heilige Drei Könige;BY
2090-06-15;Fronleichnam;BY
2090-11-01;Allerheiligen;BY
2091-01-01;Neujahr;BY
2091-04-06;Karfreitag;BY
2091-04-09;Ostermontag;BY
2091-05-01;Erster Mai;BY
2091-05-17;Christi Himmelfahrt;BY
2091-05-28;Pfingstmontag;BY
2091-10-03;Tag der Deutschen Einheit;BY
2091-12-25;Erster Weihnachtstag;BY
2091-12-26;Zweiter Weihnachtstag;BY
2091-01-06;Heilige Drei Könige;BY
2091-06-07;Fronleichnam;BY
2091-11-01;Allerheiligen;BY
